TargetName	location
MTERF4	chr2:241097322-241097361
METAP1D	chr2:172080454-172080503
ACSBG2	chr19:6183192-6183226
SLCO6A1	chr5:102391037-102399595
MSGN1	chr2:17816850-17816884
KCP	chr7:128892698-128892735
ERFL	chr19:41909433-41909471
BRF1	chr14:105210378-105210427
MACROH2A2	chr10:70095697-70095746
GATAD1	chr7:92448772-92448812
IL3RA	chrX:1352337-1352386,chrY:1352337-1352386
H2BC13	chr6:27807495-27807536
C5orf46	chr5:147906463-147906498
NBEAL2	chr3:47002416-47002465
SCYL1	chr11:65536049-65536092
MRPL28	chr16:368332-368366
CPA4	chr7:130304526-130304575
TOMM5	chr9:37592494-37592529
FUT9	chr6:96203402-96203451
GPR22	chr7:107474930-107474979
SNX15	chr11:65032193-65032461
MSRB3	chr12:65328527-65328564
PRAMEF12	chr1:12775705-12775754
RDH12	chr14:67726057-67726106
CEBPZOS	chr2:37201976-37202016
OR10A7	chr12:55221511-55221560
DUX5	
FXYD6	chr11:117837749-117837798
SRR	chr17:2321400-2321564
ZBED1	chrX:2486739-2486788
SERINC1	chr6:122458646-122471712
ELAVL2	chr9:23692496-23692545
H2BW2	chrX:104039956-104039998
AEBP1	chr7:44113661-44113699
FAM180B	chr11:47589020-47589069
LRIG1	chr3:66379137-66379186
CCDC180	
ENPP7	chr17:79735122-79735156
E2F4	chr16:67192833-67193015
CNN3	chr1:94903145-94903179
ARHGDIB	chr12:14942349-14942395
FAM24B	chr10:122849284-122849333
SWT1	chr1:185184759-185184808
LYN	chr8:55952067-55953832
PTCHD3	chr10:27413593-27413642
POGLUT2	chr13:102789145-102789194
HOXA11	chr7:27182185-27182234
F5	chr1:169523880-169524861
SECISBP2	chr9:89328806-89328855
TLNRD1	chr15:81002834-81002871
RBM46	chr4:154797811-154797860
GOLPH3L	chr1:150648088-150648137
AMIGO2	chr12:47078083-47078132
PANK2	chr20:3908021-3908070
ZP2	chr16:21203133-21203182
TMSB10	chr2:84906447-84906488
TMEM184B	chr22:38231305-38245954
CD2AP	chr6:47554743-47574089
TRUB1	chr10:114975223-114975272
TIMD4	chr5:156954680-156954729
TUSC1	
SPDYE5	chr7:102560874-102560923,chr7:67286318-67286367,chr7:102659964-102660013,chr7:44007467-44007516,chr7:72864155-72864204,chr7:75501636-75501685,chr7:102348354-102348403
EID1	chr15:48878180-48878215
PCNX1	chr14:71076292-71076341
ZFP57	chr6:29673666-29673704
COX6A2	chr16:31428025-31428062
STPG4	chr2:47129955-47130204
MTMR9	chr8:11304896-11304945
WFDC11	chr20:45650624-45667109
EAPP	chr14:34524742-34524791
STX8	chr17:9505041-9505090
SLC27A4	chr9:128360669-128360718
FHDC1	chr4:152943480-152943514
DUSP22	chr6:350881-350930
BCAS4	chr20:50876867-50876906
TAS2R10	chr12:10825634-10825683
USP31	chr16:23090639-23090683
SUSD3	chr9:93077862-93077904
HGSNAT	chr8:43191565-43192309
CCNT1	chr12:48693588-48693637
ATF2	chr2:175168082-175168119
PDZK1IP1	chr1:47187324-47187371
SMAD4	chr18:51065605-51067066
ARHGAP40	chr20:38641805-38643734
KCNH6	chr17:63545187-63545222
ZNF503	chr10:75401245-75401292
PRPF40A	chr2:152659117-152659166
ABHD18	chr4:128017365-128017414
CCNG1	chr5:163441088-163441137
TUBG1	chr17:42615156-42615205
SERF2	chr15:43793832-43793867
SRSF12	chr6:89098876-89098925
PRR3	chr6:30563043-30563092
LRRC8B	chr1:89584123-89584172
DYNLL2	chr17:58089424-58089473
AKAP13	chr15:85682186-85684763
TALDO1	chr11:755994-758990
ABCC8	chr11:17430840-17430889
UNC5A	chr5:176874019-176874055
C10orf99	chr10:84173833-84173882
LPAR5	chr12:6619590-6619639
FZR1	chr19:3534798-3534842
SOX12	chr20:328180-328215
C9orf135	chr9:69856661-69857940
GPS2	chr17:7314296-7314343
IL36RN	chr2:113064235-113064284
RRP1B	chr21:43684618-43685786
ANKRD34C	chr15:79294658-79294707
SLC7A14	chr3:170463275-170463324
CDH7	chr18:65843837-65843886
LHFPL3	chr7:104736735-104736774
ADAM7	chr8:24490870-24491933
ATP5F1B	chr12:56643854-56643903
RAX2	chr19:3769454-3769491
BBC3	chr19:47221789-47221823
SUMO4	chr6:149400515-149400564
OR7D2	
ZNF484	chr9:92846269-92846310
GABRD	chr1:2029139-2029174
OTOP2	chr17:74927247-74927666
EHMT2	chr6:31882982-31883379
HSD17B14	chr19:48836324-48836358
GPRASP1	chrX:102654629-102654678
FBXO30	chr6:145805380-145805429
CYP7A1	chr8:58498332-58498381
ZNF251	chr8:144721452-144721501
WNT5B	chr12:1646735-1646784
PSENEN	chr19:35745977-35746453
TRMT44	chr4:8454756-8454802
ATOH7	chr10:68232052-68232097
IMP4	chr2:130346420-130346455
MRPL4	chr19:10252656-10252690
PDGFC	chr4:156761973-156762022
DEFB125	chr20:96507-96556
OTUB2	chr14:94039013-94039047
ITPRID2	chr2:181892098-181892137
PLA2G2F	chr1:20144640-20144674
NPHP4	chr1:5904802-5905338
SLC2A7	chr1:9023049-9024995
NDRG2	chr14:21019641-21019681
RPA1	chr17:1879291-1879340
RBM43	chr2:151250798-151250847
ZNF879	chr5:179032998-179033035
CCL3L3	chr17:36196724-36196758
NAT1	chr8:18223530-18223579
ZC3H8	chr2:112216326-112216367
PABPC1	chr8:100721717-100721766
PDSS2	chr6:107459436-107459483
UBL3	chr13:29849902-29849938
STARD6	chr18:54331812-54354485,chr18:54331812-54337126
NHLRC1	chr6:18121601-18121650
MMP20	chr11:102616944-102616993
ORAI1	chr12:121641505-121641539
MKX	chr10:27735303-27735352
SPOCK1	chr5:136988496-136988545
TRPM6	chr9:74724420-74724469
FAM111B	chr11:59124781-59124830
SMIM29	chr6:34246551-34246585
CATSPERD	chr19:5746015-5748160
CDH6	chr5:31317423-31317472
MMADHC	chr2:149582221-149582270
PCGF2	chr17:38736101-38736135
DYNC2I1	chr7:158913095-158914274
FUOM	chr10:133355749-133355798
DEAF1	chr11:688432-691506
RTEL1	chr20:63696094-63696129
SPRY1	chr4:123402080-123402129
MIER3	chr5:56923353-56923402
PDS5A	chr4:39898777-39900426
CARMIL2	chr16:67647179-67647325
GALR3	chr22:37823447-37823481
SERPING1	chr11:57599992-57600041
SHISA2	chr13:26046667-26046702
RIPK2	chr8:89790225-89790274
ZNF732	chr4:305308-305342
TUBA8	chr22:18126839-18126873
PSAT1	chr9:78329539-78329580
CACNG3	chr16:24361496-24361545
COX17	chr3:119677342-119677386
CNBD1	chr8:87236920-87236969
ZNF596	chr8:247129-247178
FAM151B	chr5:80519697-80519746
KCNV1	chr8:109968213-109968260
KCNK10	chr14:88184459-88184508
IGHG3	
ABCB1	chr7:87505941-87505990
ZIC1	chr3:147413439-147413473
MAP3K5	chr6:136622894-136622943
PEAK3	chr19:2280850-2280884
REV1	chr2:99404573-99404607
STAG2	chrX:124094126-124095399
FTCDNL1	chr2:199760781-199760817
AKNAD1	chr1:108823602-108823647
BHLHA9	chr17:1270775-1270809
HEBP1	chr12:12987153-12987202
ZNF598	chr16:1998500-1998543
ODAPH	chr4:75564202-75564239
NDUFB8	chr10:100529389-100529423
FHIT	chr3:59747686-59747735
OR10S1	chr11:123977461-123977497
C9orf152	
CEP131	chr17:81195917-81196701
DOK6	chr18:69757821-69757870
SLC35F2	chr11:107792717-107792757
SPRR2B	chr1:153070576-153070625,chr1:153112470-153112519,chr1:153040083-153040132,chr1:153093488-153093537
PDK2	chr17:50105934-50105968
MRPL10	chr17:47824081-47824130
ZMYM4	chr1:35392659-35393618
MS4A15	chr11:60773854-60773903
HTR5A	chr7:155084625-155084674
PCDH12	chr5:141957753-141957787
FBLL1	chr5:168530389-168530423
RPL30	chr8:98044954-98045003
TUBB8	chr10:47394-47428,chr9:138176893-138176927,chr18:47727-47761
FCGR3A	chr1:161623812-161623861,chr1:161542375-161542424
PCF11	chr11:83169291-83169340
NEURL1B	chr5:172686887-172686921
FCAMR	chr1:206959685-206959734
VWA3A	chr16:22126270-22131226
PCTP	chr17:55767438-55771136
SLC31A2	chr9:113161517-113161566
RNF115	chr1:145748032-145748081
WNT3	chr17:46764434-46764481
PLA2G1B	chr12:120322230-120322279
GDF6	chr8:96144073-96144122
C19orf81	chr19:50658085-50658119
PP2D1	chr3:20001901-20001950
GRIN2B	chr12:13562217-13562266
GNL3L	chrX:54560583-54560632
WDR5B	chr3:122415366-122415415
MCF2	chrX:139607735-139610305
ARAF	chrX:47563024-47563063
ESCO2	chr8:27791972-27792021
SERPINE1	chr7:101138556-101138605
NDUFV1	chr11:67611549-67611916
ZNF534	chr19:52429213-52431423
GRIK1	chr21:29654827-29672995
CBS	chr21:6457934-6457978,chr21:43066256-43066300
SWSAP1	chr19:11375524-11375560
XPO5	chr6:43573493-43573542
DDX20	chr1:111756667-111756716
TUT7	chr9:86323658-86323707
HOXD13	chr2:176095232-176095275
NKIRAS2	chr17:42024356-42024403
ZNF428	chr19:43607994-43608028
CD99	chrX:2726273-2726312
ANKRD36	chr2:97589844-97589878,chr2:97113583-97113617
FBXL3	chr13:77007188-77007237
PTGER1	chr19:14473645-14473683
PRKG1	chr10:52062624-52133876
CAPN3	chr15:42409803-42409840
TEX19	chr17:82363532-82363581
RAB11B	chr19:8402268-8402522
AARS1	chr16:70270237-70270282
CD24	chr6:106971785-106971820
PTCRA	chr6:42925741-42925775
PHF23	chr17:7235355-7235404
ZNF468	chr19:52840064-52840099
ZNF699	chr19:9297446-9297895
ZNF493	chr19:21426004-21426053
NCAPG2	chr7:158664695-158664744
TBC1D12	chr10:94474668-94474702
TBC1D5	chr3:17291916-17291965
TSTD1	chr1:161037699-161037739
THAP11	chr16:67843997-67844045
FBXL5	chr4:15626889-15626938
USP17L12	chr4:9244648-9244682,chr4:9254147-9254181,chr4:9359152-9359186,chr4:9225665-9225699,chr4:9349662-9349696,chr4:9220921-9220955,chr4:9325934-9325968,chr4:9330680-9330714,chr4:9216174-9216208,chr4:9363898-9363932,chr4:9344917-9344951,chr4:9335427-9335461,chr4:9354407-9354441,chr4:9235154-9235188,chr4:9258893-9258927,chr4:9368643-9368677,chr4:9211426-9211460,chr4:9263641-9263675,chr4:9268388-9268422,chr8:12137957-12137991,chr4:9340172-9340206,chr4:9249399-9249433
MEX3D	chr19:1556137-1556173
ZFYVE28	chr4:2305474-2305508
HCAR1	chr12:122729323-122729372
HSF4	chr16:67167524-67167559
ANKDD1A	chr15:64921945-64921994
HECTD3	chr1:45008697-45009183
GPR37L1	chr1:202123516-202123565
R3HDML	chr20:44337356-44337395
ATF7IP2	chr16:10483283-10483332
TBC1D2	chr9:98199127-98199176
MSH2	chr2:47476399-47476448
PCSK5	chr9:76169787-76169836
PNPLA4	chrX:7902004-7902041
ATF1	chr12:50814293-50814342
BCL7A	chr12:122061059-122061105
MS4A12	chr11:60503746-60503795
NOL7	chr6:13615749-13616488
OPN4	chr10:86659414-86659463
IGDCC4	chr15:65393438-65393487
KLC2	chr11:66267303-66267338
SLC26A11	chr17:80252892-80252926
HRC	chr19:49154973-49155008
ZNF419	chr19:57491523-57491566,chr19:57504712-57504755
EVX2	chr2:176083838-176083887
RNF32	chr7:156658494-156658528
KAT2B	chr3:20101392-20101441
LRRC3	chr21:44457932-44457981
CHMP4C	chr8:81759274-81759323
GBF1	chr10:102351919-102352474
HDGFL1	chr6:22569665-22569710
NEDD1	chr12:96945737-96945784
NDOR1	chr9:137212580-137213798
LARP4	chr12:50429052-50430505
BTN1A1	chr6:26506760-26506809
NAV1	chr1:201812586-201812620
LETM2	chr8:38406977-38407026
PPP2R2A	chr8:26370983-26371032
PCBP4	chr3:51960540-51960589
INAFM1	chr19:47275671-47275705
ATP5F1E	chr20:59032301-59032335
C2orf91	chr2:41937069-41937118
ZNF273	chr7:64929686-64929735
OTUD4	chr4:145159550-145159599
KBTBD6	chr13:41131381-41131430
FAM13C	chr10:59302859-59324031
APOE	chr19:44906653-44907779
WIPF1	chr2:174562513-174562560
SCN3A	chr2:165146952-165147001
OR8H3	chr11:56105043-56105077,chr11:56122373-56122407
RELCH	chr18:62258562-62258611
ARHGEF37	chr5:149634355-149634404
YIPF5	chr5:144165481-144165515
CD59	chr11:33709848-33709897
PIWIL1	chr12:130355001-130355597
KIF5B	chr10:32010154-32010203
MSL1	chr17:40129521-40129570
TBC1D31	chr8:123097340-123097389
FBRS	chr16:30659715-30659750
TLE6	chr19:2994054-2994902
PLXNB1	chr3:48415282-48415316
BUB1	chr2:110655757-110655795
SMARCB1	chr22:23825333-23825367
CLDND1	chr3:98518939-98518988
USP9Y	chrY:12841077-12841126
WDR18	chr19:989801-989835
ISCA1	chr9:86265895-86265944
ISLR	chr15:74176649-74176698
GLDC	chr9:6602152-6602201
TRIM41	chr5:181235738-181235781
ZNF568	chr19:36916429-36916467
ARMC10	chr7:103083720-103083757
MFF	chr2:227332587-227340327
ZNF716	chr7:57470497-57470546
KANSL1	chr17:46067570-46067619
ADAM21	chr14:70452221-70457355
ZNF445	chr3:44448629-44448678
ZNF766	chr19:52290467-52290508
RBM44	chr2:237820252-237820301
CCNB2	chr15:59117276-59117325
OR13H1	chrX:131544600-131544649
LY6G6F	chr6:31710178-31710397
CD160	chr1:145736027-145736076
DNAJB2	chr2:219283151-219283200
SCLY	chr2:238061114-238064361
SDHD	chr11:112095055-112095104
TMEM71	chr8:132758859-132758908
EPPIN	chr20:45542080-45542122
SLC49A4	chr3:122826918-122826967
DDB1	chr11:61316319-61316368
CDK8	chr13:26404155-26404204
ODF2L	chr1:86354782-86354825
ZNF92	chr7:65399948-65399997
TRIM71	chr3:32891272-32891316
HPF1	chr4:169741958-169741998
VSTM2B	chr19:29527395-29529837
ROPN1B	chr3:125969350-125969386,chr3:123991936-123991972
PNPLA7	chr9:137498214-137500701
EVC	chr4:5748224-5748258
SPCS3	chr4:176328230-176328277
SMIM40	chr6:33329228-33329262
GPR78	chr4:8587670-8587712
CLIC6	chr21:34707354-34707956
SGK2	chr20:43585261-43585310
ADAM32	chr8:39234056-39246105
C1orf52	chr1:85258658-85258692
WDR83OS	chr19:12668521-12668555
POLG	chr15:89318610-89318659
PSG5	chr19:43185081-43185130
C10orf82	chr10:116663868-116663903
CHST7	chrX:46597928-46597977
REXO2	chr11:114443927-114444582
TSPAN5	chr4:98472166-98472215
FPGT	
ZNF266	chr19:9420169-9420218
SULT2B1	chr19:48591707-48592742
TMLHE	chrX:155545173-155545220
WDR37	chr10:1129585-1129634
PANK4	chr1:2521164-2521209
ZPBP2	chr17:39875404-39876700
ACACB	chr12:109216674-109216812
HRH1	chr3:11261965-11262014
MYORG	chr9:34370146-34370195
AK8	chr9:132814677-132814711
RFX7	chr15:56095520-56095569
SLC22A17	chr14:23348238-23348272
GARNL3	chr9:127313505-127313554
SKIL	chr3:170360656-170360705
ITM2B	chr13:48258161-48258210
IGF1R	chr15:98948574-98948623
CHPT1	chr12:101726309-101726358
ZDHHC12	chr9:128721377-128721419
XYLB	chr3:38397128-38400908
TMEM97	chr17:28328173-28328222
HMGCL	chr1:23817530-23817579
IL12RB1	chr19:18072131-18072170
ZNF367	chr9:96398196-96398245
CARD8	chr19:48230918-48230967
WNT9B	chr17:46876335-46876369
L3MBTL2	chr22:41226714-41227107
SEMA4B	chr15:90229320-90229366
SYP	chrX:49187930-49187979
ERH	chr14:69394877-69398244
ATG4D	chr19:10544841-10544973
PRSS55	chr8:10532906-10532947
KATNA1	chr6:149638441-149638490
ATG4C	chr1:62819279-62819313
ITM2A	chrX:79361130-79361330
ZNF385A	chr12:54369542-54369591
PRRG4	chr11:32836720-32836754
FOXL3	chr7:290227-290261
ARHGEF10	chr8:1926403-1926452
DRD5	chr4:9782684-9782733,chr1:144275554-144275603,chr1:144690773-144690822
FAM219B	chr15:74905175-74905224
ATG10	chr5:82253369-82253418
LRMDA	chr10:76047303-76058714
C1QTNF4	chr11:47589889-47589923
COPS6	chr7:100091685-100091734
MC4R	chr18:60372190-60372239
UBXN10	chr1:20193070-20193117
TXNL1	chr18:56626410-56638344
ARHGAP8	chr22:44808346-44808395
FGL2	chr7:77199534-77199583
YWHAE	chr17:1348006-1354257,chr17:1345497-1354257
TTN	chr2:178766419-178766454
SPATA18	chr4:52051690-52051724
MMD	chr17:55411386-55414168
JMY	chr5:79300154-79300203
OR10AC1	chr7:143511358-143511392
RMI2	chr16:11351269-11351318
ELMO2	chr20:46371852-46371901
OR51H1	
DCAF7	chr17:63583570-63583610
CCDC105	chr19:15020646-15021373
ATG16L1	chr2:233294782-233294831
RPS6KA3	chrX:20195094-20195143
ADRA1A	chr8:26865273-26865320
ETV5	chr3:186047624-186047673
ETFDH	chr4:158682418-158684634
CALM1	chr14:90405749-90405798
HMGB3	chrX:150986094-150986128
TNMD	chrX:100594001-100594275
OAZ1	chr19:2271524-2271824
KRTAP2-4	chr17:41065271-41065320
OR51I1	chr11:5441352-5441401
APOA4	chr11:116820715-116820764
DUSP14	chr17:37512823-37512857
NHLRC2	chr10:113904840-113904876
STRADB	chr2:201477766-201478111
